Rk,Age,G,GS,MP,FG,FGA,FGP,3P,3PA,3PP,2P,2PA,2PP,EFGP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG,labels
369,22,19,6,30.1,3.6,9.7,0.368,1.3,4.7,0.281,2.3,5.1,0.448,0.435,1.4,2.2,0.643,0.9,3.1,4.0,3.9,1.2,0.4,1.8,2.4,9.9,1
370,28,24,21,29.1,4.4,10.5,0.415,0.3,1.2,0.241,4.1,9.3,0.438,0.429,1.2,1.6,0.763,0.3,2.8,3.0,6.2,0.9,0.4,1.4,1.8,10.3,1
379,30,12,0,20.1,3.3,7.1,0.471,0.4,1.5,0.278,2.9,5.6,0.522,0.5,2.3,3.4,0.683,0.3,2.2,2.4,1.5,0.6,0.0,1.7,1.4,9.4,1
381,28,22,22,31.6,5.0,12.1,0.417,0.9,3.1,0.275,4.2,9.0,0.467,0.453,4.4,5.1,0.85,0.5,3.3,3.8,6.8,2.0,0.6,2.6,2.5,15.3,0
385,27,21,21,33.3,8.0,18.8,0.425,2.2,6.6,0.331,5.8,12.2,0.477,0.484,7.8,8.8,0.886,0.5,2.1,2.6,6.2,0.9,0.1,2.2,2.3,26.0,0
396,34,21,0,17.5,2.9,6.3,0.459,0.4,1.0,0.364,2.5,5.3,0.477,0.489,0.9,1.0,0.9,0.2,1.5,1.8,3.4,0.3,0.0,0.9,0.9,7.0,2
397,21,13,0,10.9,1.4,3.5,0.4,0.1,0.4,0.2,1.3,3.1,0.425,0.411,0.8,0.9,0.833,0.2,0.5,0.7,1.8,1.2,0.1,0.8,1.0,3.6,2
400,22,5,0,2.6,0.6,1.0,0.6,0.2,0.4,0.5,0.4,0.6,0.667,0.7,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.4,0.0,0.2,0.2,1.4,2
402,30,3,0,13.0,0.7,2.7,0.25,0.3,1.0,0.333,0.3,1.7,0.2,0.313,0.7,1.0,0.667,0.0,0.7,0.7,1.7,0.3,0.3,0.3,2.0,2.3,2
409,26,22,22,33.5,8.4,18.0,0.466,2.7,6.6,0.414,5.6,11.4,0.496,0.542,4.2,5.4,0.78,0.4,3.5,4.0,5.0,1.6,0.3,2.1,1.5,23.6,0
410,26,19,19,36.0,8.5,18.7,0.455,1.4,3.7,0.371,7.2,15.1,0.476,0.492,5.2,6.3,0.824,0.8,3.5,4.3,9.5,2.2,0.6,4.5,2.4,23.6,0
413,32,18,0,11.7,0.6,2.2,0.275,0.4,0.9,0.438,0.2,1.3,0.167,0.363,0.7,0.9,0.813,0.1,1.1,1.2,1.0,0.6,0.0,0.2,0.7,2.3,2
415,28,22,22,35.7,10.3,24.1,0.427,1.9,5.6,0.333,8.5,18.5,0.456,0.466,8.5,10.5,0.81,2.2,8.6,10.9,11.3,1.3,0.4,5.6,2.4,31.0,0
416,21,17,11,22.8,2.4,6.5,0.369,0.5,1.8,0.258,1.9,4.7,0.413,0.405,0.9,1.2,0.8,0.3,2.2,2.5,3.0,0.8,0.6,2.2,2.5,6.2,1
421,32,13,13,29.0,4.4,11.3,0.388,1.5,4.8,0.306,2.9,6.5,0.447,0.452,1.7,1.9,0.88,0.2,2.2,2.4,6.5,0.3,0.2,2.4,2.4,11.9,1
432,24,15,0,6.3,1.3,3.3,0.38,0.2,0.9,0.214,1.1,2.4,0.444,0.41,0.5,0.7,0.727,0.1,0.8,0.9,0.7,0.3,0.0,0.1,0.3,3.3,2
