Rk,Player,PlayerID,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
46,Tarik Black,blackta01,C,25,LAL,23,0,15.4,2.2,4.4,.500,0.0,0.0,.000,2.2,4.4,.505,.500,1.4,1.8,.786,2.3,2.9,5.2,0.6,0.3,0.6,0.7,2.4,5.9
47,Eric Bledsoe,bledser01,PG,27,PHO,22,22,31.9,6.5,14.7,.443,1.2,4.1,.300,5.3,10.6,.498,.485,4.6,5.6,.815,1.0,4.8,5.8,5.0,1.5,0.3,3.1,3.0,18.8
48,Bojan Bogdanovic,bogdabo02,SF,27,BRK,21,21,28.0,5.1,11.3,.456,1.6,4.9,.333,3.5,6.4,.548,.527,3.1,3.6,.855,0.5,2.8,3.3,1.5,0.4,0.0,1.5,1.7,15.0
49,Andrew Bogut,bogutan01,C,32,DAL,16,16,25.0,1.8,3.8,.475,0.0,0.1,.000,1.8,3.8,.483,.475,0.2,0.7,.273,2.6,7.8,10.4,2.2,0.6,0.9,1.8,3.6,3.8
50,Joel Bolomboy,bolomjo01,PF,23,UTA,7,0,2.1,0.3,0.4,.667,0.0,0.1,.000,0.3,0.3,1.000,.667,0.1,0.3,.500,0.0,1.1,1.1,0.1,0.1,0.3,0.1,0.1,0.7
51,Devin Booker,bookede01,SG,20,PHO,21,21,32.9,7.0,16.6,.424,1.6,4.9,.333,5.4,11.8,.462,.473,3.3,4.1,.793,0.5,2.1,2.6,2.7,0.9,0.3,2.5,3.0,19.0
52,Trevor Booker,booketr01,PF,29,BRK,20,20,28.2,4.6,8.5,.544,0.3,1.1,.238,4.4,7.4,.588,.559,1.4,1.9,.711,2.3,6.6,8.8,2.5,2.0,0.6,1.8,2.3,10.8
53,Avery Bradley,bradlav01,SG,26,BOS,22,22,35.5,7.2,15.3,.472,2.1,5.1,.407,5.1,10.2,.504,.540,1.3,1.7,.763,1.3,6.5,7.8,2.5,1.0,0.3,1.6,2.5,17.9
54,Corey Brewer,breweco01,SF,30,HOU,22,3,15.0,1.7,4.0,.425,0.3,1.6,.194,1.4,2.3,.588,.466,0.6,0.9,.700,0.4,1.7,2.1,1.0,0.6,0.1,0.6,1.9,4.3
55,Malcolm Brogdon,brogdma01,SG,24,MIL,20,0,20.7,2.8,6.8,.404,0.9,2.2,.419,1.9,4.7,.398,.471,1.2,1.3,.920,0.4,1.9,2.3,2.8,0.9,0.1,1.1,1.5,7.6
56,Aaron Brooks,brookaa01,PG,32,IND,19,0,15.0,2.3,5.5,.423,0.8,2.3,.364,1.5,3.2,.467,.500,0.6,0.7,.857,0.3,0.7,1.0,2.2,0.6,0.2,1.4,1.6,6.1
57,Anthony Brown,brownan02,SF,24,NOP,9,0,15.9,1.6,4.6,.341,0.7,2.7,.250,0.9,1.9,.471,.415,0.0,0.0,,0.7,2.2,2.9,0.7,0.6,0.2,0.6,1.4,3.8
58,Bobby Brown,brownbo02,PG,32,HOU,6,0,3.7,0.2,2.0,.083,0.0,0.7,.000,0.2,1.3,.125,.083,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.2,0.3,0.3
59,Jaylen Brown,brownja02,SF,20,BOS,22,3,14.1,2.0,4.5,.440,0.5,1.4,.333,1.5,3.2,.486,.490,0.9,1.5,.594,0.7,1.3,2.0,0.7,0.4,0.3,0.7,1.6,5.3
60,Nicolas Brussino,brussni01,SF,23,DAL,16,0,7.4,0.6,1.5,.375,0.3,1.0,.313,0.3,0.5,.500,.479,0.4,0.4,.857,0.3,0.9,1.1,1.0,0.4,0.2,0.3,0.6,1.8
61,Reggie Bullock,bullore01,SF,25,DET,4,0,10.5,1.8,4.0,.438,0.5,1.8,.286,1.3,2.3,.556,.500,0.0,0.0,,0.8,0.5,1.3,0.3,0.3,0.5,0.3,0.0,4.0
62,Trey Burke,burketr01,PG,24,WAS,17,0,11.6,2.1,4.6,.443,0.3,0.7,.417,1.8,3.9,.448,.475,0.2,0.4,.500,0.2,0.4,0.5,1.4,0.2,0.1,0.5,0.6,4.6
63,Jimmy Butler,butleji01,SF,27,CHI,22,22,36.3,7.8,16.7,.465,1.2,3.5,.351,6.5,13.2,.495,.501,8.6,9.7,.887,1.7,5.0,6.7,4.1,1.6,0.4,2.1,1.7,25.4
64,Bruno Caboclo,cabocbr01,SF,21,TOR,3,0,3.7,0.3,1.0,.333,0.3,0.7,.500,0.0,0.3,.000,.500,0.0,0.0,,0.3,1.0,1.3,1.0,0.7,0.0,0.7,0.7,1.0
65,Jose Calderon,caldejo01,PG,35,LAL,14,9,13.9,1.9,3.9,.481,0.7,1.7,.417,1.1,2.1,.533,.574,0.3,0.3,1.000,0.4,1.8,2.2,2.6,0.4,0.1,1.6,1.1,4.7
66,Kentavious Caldwell-Pope,caldwke01,SG,23,DET,24,24,33.3,5.3,12.6,.416,2.0,5.3,.375,3.3,7.3,.446,.495,2.0,2.5,.814,1.0,2.6,3.6,3.0,1.2,0.1,1.1,1.8,14.5
67,Isaiah Canaan,canaais01,SG,25,CHI,22,0,20.7,2.4,6.1,.393,1.0,3.5,.276,1.5,2.7,.542,.470,1.0,1.1,.880,0.2,1.5,1.7,1.0,0.8,0.0,0.7,1.4,6.8
68,Clint Capela,capelca01,C,22,HOU,22,22,25.8,5.5,8.8,.632,0.0,0.0,,5.5,8.8,.632,.632,1.0,2.1,.457,2.5,6.0,8.5,0.9,0.5,1.9,1.3,2.6,12.0
69,DeMarre Carroll,carrode01,SF,30,TOR,18,18,26.6,3.6,8.2,.442,1.8,4.8,.368,1.8,3.3,.550,.551,1.1,1.6,.714,0.6,2.8,3.4,1.1,1.1,0.5,0.4,2.1,10.1
70,Vince Carter,cartevi01,SG,40,MEM,18,0,26.4,3.2,8.3,.389,1.3,4.8,.279,1.9,3.5,.540,.470,1.5,1.9,.771,0.6,3.3,3.9,1.8,0.8,0.4,0.8,2.6,9.3
71,Michael Carter-Williams,cartemi01,PG,25,CHI,3,0,15.0,1.3,5.0,.267,0.3,0.7,.500,1.0,4.3,.231,.300,1.0,1.3,.750,1.0,2.0,3.0,2.7,0.7,0.7,2.0,2.0,4.0
72,Omri Casspi,casspom01,SF,28,SAC,12,1,18.3,2.3,5.3,.444,0.4,1.5,.278,1.9,3.8,.511,.484,0.4,0.6,.714,0.8,2.8,3.7,1.3,0.4,0.1,0.9,0.9,5.5
73,Willie Cauley-Stein,caulewi01,C,23,SAC,17,0,12.8,2.2,3.9,.567,0.0,0.0,,2.2,3.9,.567,.567,0.7,1.3,.545,0.8,1.2,1.9,0.3,0.5,0.4,0.6,2.5,5.2
74,Tyson Chandler,chandty01,C,34,PHO,14,13,26.9,3.1,4.4,.705,0.0,0.0,,3.1,4.4,.705,.705,1.1,1.5,.714,2.7,8.2,10.9,0.7,0.7,0.4,1.5,3.2,7.2
75,Wilson Chandler,chandwi01,SF,29,DEN,21,2,31.2,7.0,15.4,.455,1.7,4.7,.367,5.3,10.7,.493,.511,2.2,3.0,.758,1.7,5.9,7.6,1.7,0.8,0.2,1.6,2.1,18.0
76,Marquese Chriss,chrisma01,PF,19,PHO,22,15,15.9,2.5,5.7,.432,0.5,1.7,.297,2.0,4.0,.489,.476,1.0,1.5,.647,0.8,2.1,3.0,0.5,0.5,0.5,1.3,2.9,6.4
77,Rakeem Christmas,chrisra01,PF,25,IND,3,0,4.7,0.3,1.3,.250,0.0,0.0,,0.3,1.3,.250,.250,0.3,0.3,1.000,0.3,0.7,1.0,0.3,0.0,0.3,0.0,0.3,1.0
78,Semaj Christon,chrisse01,PG,24,OKC,21,0,13.1,1.1,3.6,.307,0.1,0.7,.200,1.0,2.9,.333,.327,0.2,0.4,.500,0.2,0.9,1.1,2.5,0.3,0.0,0.6,1.1,2.5
79,Ian Clark,clarkia01,SG,25,GSW,20,0,14.0,2.6,5.3,.495,1.0,2.5,.408,1.6,2.8,.571,.590,0.6,0.8,.733,0.2,1.2,1.4,1.1,0.5,0.2,0.5,0.9,6.8
80,Jordan Clarkson,clarkjo01,SG,24,LAL,24,2,28.9,5.8,13.5,.429,1.2,3.8,.311,4.6,9.8,.474,.472,1.8,2.2,.830,0.7,2.1,2.8,2.1,1.6,0.1,2.0,1.8,14.6
81,Darren Collison,collida01,PG,29,SAC,13,9,30.6,4.6,9.5,.484,0.9,2.5,.364,3.7,7.0,.527,.532,3.2,3.7,.875,0.5,1.6,2.2,4.7,1.3,0.1,2.2,1.7,13.4
